Division,District,Upazila,Union,Union_Geo,Surge Height (m),Wind Speed (km/hr),Thrust Force,Polder Damage Condition,Structure Damage Condition,House Damage in Million BDT,Hazard (%),Vulnerability (%),Risk (%),Total Number of Affected House,Total Number of Affected People,Percentage of Affected People
Barisal,Barguna,Amtali,Amtali,10040913,0.0,94,0.0,Polders are likely to remain safe,No damage,0.0,51.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Arpangashia,10040915,0.0,96,3.294625529709001,Polders are likely to remain safe,No damage,0.0,56.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Atharagashia,10040923,0.0,84,0.0,Polders are likely to remain safe,No damage,0.0,43.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Barabagi,10040939,0.6,106,0.0,Polders are likely to remain safe,"Kacha, Semi-paka and Paka houses will likely to be damaged",18229.0,61.0,52.0,58.0,1259.0,5036.0,7.0
Barisal,Barguna,Amtali,Chhota Bagi,10040943,0.0,104,3.868056885643441,Polders are likely to remain safe,Kacha houses will likely to be damaged,5662.0,63.0,24.0,28.0,858.0,3430.0,7.0
Barisal,Barguna,Amtali,Chowra,10040947,0.0,90,0.0,Polders are likely to remain safe,No damage,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Gulisakhali,10040963,0.0,89,0.0,Polders are likely to remain safe,No damage,0.0,47.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Haldia,10040971,0.0,91,0.0,Polders are likely to remain safe,No damage,0.0,49.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Karaibaria,10040979,0.0,101,0.0,Polders are likely to remain safe,Kacha houses will likely to be damaged,5968.0,57.0,24.0,25.0,906.0,3624.0,7.0
Barisal,Barguna,Amtali,Kukua,10040987,0.0,87,0.0,Polders are likely to remain safe,No damage,0.0,46.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Nishanbaria,10040991,1.3,110,33.984831455194445,Polders are likely to be damaged,"Kacha, Semi-paka and Paka houses will likely to be damaged",13222.0,97.0,52.0,90.0,945.0,3779.0,7.0
Barisal,Barguna,Amtali,Pancha Koralia,10040994,0.0,100,0.7188121549825552,Polders are likely to remain safe,Kacha houses will likely to be damaged,5090.0,57.0,23.0,24.0,792.0,3168.0,7.0
Barisal,Barguna,Amtali,Sarikkhali,10040995,0.0,99,0.0,Polders are likely to remain safe,No damage,0.0,55.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Sonakata,10040996,0.9,110,22.377127048605477,Polders are likely to be damaged,"Kacha, Semi-paka and Paka houses will likely to be damaged",12029.0,86.0,52.0,80.0,856.0,3424.0,8.0
Barisal,Barguna,Amtali,Paurashava,10040999,0.0,93,0.0,Polders are likely to remain safe,No damage,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Bamna,Bamna,10041923,0.0,93,7.867055951517815,Polders are likely to remain safe,No damage,0.0,57.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Bamna,Bukabunia,10041947,0.0,96,0.0,Polders are likely to remain safe,No damage,0.0,52.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Bamna,Dauatala,10041971,0.0,100,16.126703206811477,Polders are likely to remain safe,Kacha houses will likely to be damaged,9888.0,71.0,22.0,29.0,1544.0,6177.0,7.0
Barisal,Barguna,Bamna,Ramna,10041995,0.0,97,10.445617833522693,Polders are likely to remain safe,No damage,0.0,63.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Ayla Patakata,10042817,0.4,92,11.060708453729964,Polders are likely to be damaged,"Kacha, Semi-paka and Paka houses will likely to be damaged",20487.0,60.0,54.0,58.0,1382.0,5527.0,7.0
Barisal,Barguna,Barguna Sadar,Badarkhali,10042819,0.0,100,14.13406147406692,Polders are likely to remain safe,Kacha houses will likely to be damaged,12310.0,69.0,24.0,30.0,1872.0,7487.0,7.0
Barisal,Barguna,Barguna Sadar,Barguna,10042828,0.0,100,0.0,Polders are likely to remain safe,Kacha houses will likely to be damaged,8902.0,56.0,23.0,23.0,1386.0,5543.0,7.0
Barisal,Barguna,Barguna Sadar,Burir Char,10042838,0.0,99,9.321888456943935,Polders are likely to remain safe,No damage,0.0,64.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Dhalua,10042847,0.0,104,1.0210478032220993,Polders are likely to remain safe,Kacha houses will likely to be damaged,11822.0,60.0,24.0,27.0,1777.0,7107.0,7.0
Barisal,Barguna,Barguna Sadar,Phuljhury,10042857,0.0,94,0.0,Polders are likely to remain safe,No damage,0.0,51.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Gaurichanna,10042866,0.0,96,0.0,Polders are likely to remain safe,No damage,0.0,53.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Keorabunia,10042876,0.0,93,0.0,Polders are likely to remain safe,No damage,0.0,51.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,M.Baliatali,10042885,0.4,108,8.704722882989996,Polders are likely to be damaged,"Kacha, Semi-paka and Paka houses will likely to be damaged",29103.0,70.0,51.0,65.0,2074.0,8297.0,7.0
Barisal,Barguna,Barguna Sadar,Naltona,10042895,1.5,109,3.5967420145486226,Polders are likely to remain safe,"Kacha, Semi-paka and Paka houses will likely to be damaged",19924.0,68.0,52.0,64.0,1414.0,5654.0,7.0
Barisal,Barguna,Barguna Sadar,Paurashava,10042899,0.0,98,0.0,Polders are likely to remain safe,No damage,0.0,54.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Betagi,10044711,0.0,84,0.840809733562532,Polders are likely to remain safe,No damage,0.0,44.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Bibichini,10044723,0.0,80,3.190585715710646,No polder in the area,No damage,0.0,43.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Bura Mazumdar,10044735,0.0,91,2.1759975792489357,Polders are likely to remain safe,No damage,0.0,51.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Hosnabad,10044747,0.0,86,0.0,Polders are likely to remain safe,No damage,0.0,45.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Kazirabad,10044759,0.0,92,0.0,Polders are likely to remain safe,No damage,0.0,49.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Mokamia,10044771,0.0,89,1.7379473542949795,Polders are likely to remain safe,No damage,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Sarishamuri,10044783,0.0,95,4.708237912160786,Polders are likely to remain safe,No damage,0.0,57.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Paurashava,10044799,0.0,83,1.697408855535351,Polders are likely to remain safe,No damage,0.0,44.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Char Duanti,10048511,0.0,112,12.564483482501641,Polders are likely to remain safe,Kacha houses will likely to be damaged,12690.0,77.0,24.0,34.0,1919.0,7676.0,8.0
