Division,District,Upazila,Union,Union_Geo,Surge Height (m),Wind Speed (km/hr),Thrust Force,Polder Damage Condition,Structure Damage Condition,House Damage in Million BDT,Hazard (%),Vulnerability (%),Risk (%),Total Number of Affected House,Total Number of Affected People,Percentage of Affected People
Barisal,Barguna,Amtali,Amtali,10040913,0.0,34,0.0,Polders are likely to remain safe,No damage,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Arpangashia,10040915,0.0,34,1.3452573379577526,Polders are likely to remain safe,No damage,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Atharagashia,10040923,0.0,34,0.0,Polders are likely to remain safe,No damage,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Barabagi,10040939,0.0,34,0.0,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Chhota Bagi,10040943,0.0,33,0.003924149247885105,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Chowra,10040947,0.0,34,1.0455380207585265,Polders are likely to remain safe,No damage,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Gulisakhali,10040963,0.0,33,1.0909133932495925,Polders are likely to remain safe,No damage,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Haldia,10040971,0.0,34,0.0,Polders are likely to remain safe,No damage,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Karaibaria,10040979,0.0,34,0.0,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Kukua,10040987,0.0,34,0.0,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Nishanbaria,10040991,0.2,33,0.11888166337941562,Polders are likely to be damaged,Kacha houses will likely to be damaged,12748.0,9.0,64.0,8.0,174.0,696.0,1.0
Barisal,Barguna,Amtali,Pancha Koralia,10040994,0.0,33,0.0,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Sarikkhali,10040995,0.0,34,0.0,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Amtali,Sonakata,10040996,0.2,33,0.07426597156318837,Polders are likely to be damaged,Kacha houses will likely to be damaged,11544.0,9.0,64.0,8.0,158.0,631.0,1.0
Barisal,Barguna,Amtali,Paurashava,10040999,0.0,33,0.0,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Bamna,Bamna,10041923,0.0,31,1.4294877815661804,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Bamna,Bukabunia,10041947,0.0,31,0.0,Polders are likely to remain safe,No damage,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Bamna,Dauatala,10041971,0.0,31,1.829442317706818,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Bamna,Ramna,10041995,0.0,31,1.3399283663256223,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Ayla Patakata,10042817,0.0,33,4.140560270970983,Polders are likely to remain safe,No damage,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Badarkhali,10042819,0.0,32,0.2851069605435676,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Barguna,10042828,0.0,32,0.0,Polders are likely to remain safe,No damage,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Burir Char,10042838,0.0,33,2.9236922084545345,Polders are likely to remain safe,No damage,0.0,11.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Dhalua,10042847,0.0,32,0.024595601076145363,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Phuljhury,10042857,0.0,32,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Gaurichanna,10042866,0.0,32,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Keorabunia,10042876,0.0,32,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,M.Baliatali,10042885,0.0,32,2.1672625225768787,Polders are likely to remain safe,No damage,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Naltona,10042895,0.0,32,0.04721050136207666,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Barguna Sadar,Paurashava,10042899,0.0,32,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Betagi,10044711,0.0,31,0.08827459730726882,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Bibichini,10044723,0.0,31,0.8821271904110471,No polder in the area,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Bura Mazumdar,10044735,0.0,31,0.31249025159385524,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Hosnabad,10044747,0.0,31,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Kazirabad,10044759,0.0,32,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Mokamia,10044771,0.0,31,0.10100968395893856,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Sarishamuri,10044783,0.0,31,0.5376666922249893,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Betagi,Paurashava,10044799,0.0,31,0.1169695376049398,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Char Duanti,10048511,0.0,31,0.6016192261652183,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Kakchira,10048523,0.0,31,0.5180507024102187,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Kalmegha,10048535,0.0,31,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Kanthaltali,10048547,0.0,31,0.22439073889012565,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Nachna Para,10048559,0.0,31,0.0,Polders are likely to remain safe,No damage,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Patharghata,10048571,0.2,32,1.015771740422216,Polders are likely to be damaged,Kacha houses will likely to be damaged,27812.0,9.0,61.0,8.0,390.0,1558.0,1.0
Barisal,Barguna,Patharghata,Raihanpur,10048583,0.0,31,1.3189711636105959,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Barisal,Barguna,Patharghata,Paurashava,10048599,0.0,31,0.0,Polders are likely to remain safe,No damage,0.0,8.0,0.0,0.0,0.0,0.0,0.0
